-1.4203,1.3617,0.28772,0.00013542,1.694,0
-1.2628,0.8287,0.27681,0.00013542,1.6158,0
-0.10785,1.6487,0.23591,-0.9101,1.5083,0
0.25965,1.7307,0.18137,0.00013542,1.3714,0
-0.16035,1.6897,0.12955,-0.22742,1.2345,0
-0.055348,2.3867,0.13228,-0.45498,1.1172,0
1.2046,1.3207,0.16773,-0.68254,0.98035,0
1.5721,-0.23733,0.18955,-0.22742,0.84348,0
0.83715,-0.48333,0.14864,0.2277,0.69683,0
0.73215,-0.31933,0.094104,-0.45498,0.56973,0
0.73215,-0.27833,0.045018,-0.9101,0.43286,0
1.0471,-0.36033,-0.025883,0.00013542,0.26666,0
1.6246,-0.27833,-0.034064,-0.22742,0.13956,0
1.3621,-0.68834,-0.031337,0.45525,-0.05597,0
0.67965,-0.68834,-0.047699,0.00013542,-0.17329,0
-0.10785,-0.073324,0.0013863,-0.22742,-0.33949,0
-0.52785,0.0086782,0.091377,-0.68254,-0.44703,0
-1.0003,-0.23733,0.050472,-0.68254,-0.57413,0
-1.3678,-0.19633,-0.0040676,0.00013542,-0.711,0
-0.84284,-0.89334,0.020475,0.2277,-0.85765,0
-0.37035,-1.0573,0.094104,-0.45498,-0.94564,0
0.36465,-1.0163,0.10501,-0.45498,-1.0825,0
-0.055348,-0.97534,0.015021,-0.68254,-1.1803,0
-0.89534,-1.0573,-0.066788,0.45525,-1.278,0
-0.58035,-0.97534,-0.05588,-0.22742,-1.3856,0
0.049652,-0.64734,-0.042245,-0.9101,-1.4736,0
0.41715,-0.72934,-0.036791,-0.45498,-1.5909,0
0.46965,-1.1393,-0.0013406,0.00013542,-1.6691,0
-0.10785,-1.1393,-0.012249,-0.22742,-1.7669,0
-0.63285,-0.97534,-0.047699,0.00013542,-1.8549,0
-0.58035,-1.3444,-0.19223,0.2277,-2.0015,0
-1.0528,-1.9594,-0.27404,0.00013542,-2.0797,0
-1.7353,-1.5494,-0.26586,0.45525,-2.2166,0
-1.4728,-0.40133,-0.25222,0.00013542,-2.3241,0
-0.73784,-0.15533,-0.28495,0.00013542,-2.4415,0
-0.73784,-0.31933,-0.29858,0.00013542,-2.5392,0
-1.1053,-0.27833,-0.29313,0.00013542,-2.6957,0
-0.89534,-0.60634,-0.33403,-0.22742,-2.8325,0
-0.79034,-0.52433,-0.3204,0.00013542,-2.9107,0
-1.1578,-0.36033,-0.25222,-0.45498,-2.9987,0
-1.4728,-0.72934,-0.20859,-0.22742,-2.9987,0
-1.6828,-0.23733,-0.20314,-0.22742,-3.0769,0
-1.1578,-0.073324,-0.15678,-0.45498,-3.1552,0
-0.84284,-0.60634,-0.14314,-0.68254,-3.2138,0
-0.58035,0.13168,-0.2195,0.00013542,-3.3409,0
0.52215,0.41869,-0.29585,-0.68254,-3.4973,0
0.73215,-0.27833,-0.28495,-0.68254,-3.5853,0
0.31215,-0.81134,-0.20586,0.00013542,-3.732,0
0.67965,-0.60634,-0.19223,-0.68254,-3.8395,0
1.8871,-0.77034,-0.17314,-0.9101,-3.8982,0
2.4121,-0.85234,-0.13769,-0.22742,-3.9666,0
1.9396,-0.93434,-0.1186,0.00013542,-3.8982,0
0.83715,-0.64734,-0.18405,0.00013542,-3.9764,0
0.20715,-0.032323,-0.2904,0.00013542,-3.9373,0
-0.31785,0.25468,-0.39948,-0.22742,-3.9275,0
-1.2103,0.0086782,-0.48129,-0.45498,-3.8884,0
-1.5253,0.41869,-0.54674,0.45525,-3.8591,0
-2.1553,-0.15533,-0.58491,-0.22742,-3.7906,0
-3.0478,-1.0983,-0.59309,0.00013542,-3.7809,0
-3.3628,-1.3034,-0.52765,0.2277,-3.7613,0
-2.4703,-1.3034,-0.52492,0.00013542,-3.732,0
-1.8403,-0.93434,-0.56037,0.00013542,-3.7418,0
-1.6303,-0.48333,-0.56582,-0.22742,-3.7613,0
-0.42285,0.0086782,-0.57673,-0.22742,-3.7222,0
1.2571,0.0086782,-0.61218,0.00013542,-3.7418,0
1.9921,0.09068,-0.60673,-0.22742,-3.732,0
1.2046,0.54169,-0.55492,0.00013542,-3.7222,0
0.83715,0.50069,-0.47856,-0.22742,-3.6831,0
1.1521,1.0337,-0.4322,-0.45498,-3.7026,0
1.2571,1.5667,-0.40221,0.00013542,-3.7026,0
0.57465,1.2797,-0.38039,-0.45498,-3.7026,0
-0.055348,1.1157,-0.39675,-0.22742,-3.7809,0
-0.58035,0.9927,-0.37494,0.45525,-3.82,0
-1.1053,1.3617,-0.34494,-0.45498,-3.8591,0
-1.2628,1.9357,-0.35857,-0.22742,-3.8102,0
-0.84284,2.2227,-0.34767,0.00013542,-3.8493,0
-0.31785,1.5667,-0.29585,0.45525,-3.8591,0
0.25965,1.0747,-0.25222,-0.22742,-3.8297,0
-0.31785,0.58269,-0.24404,-0.22742,-3.7906,0
-1.0003,0.37769,-0.24677,-0.22742,-3.7124,0
-0.68534,0.66469,-0.24677,-0.9101,-3.7222,0
0.52215,-0.073324,-0.21677,-0.9101,-3.7026,0
0.83715,-1.0163,-0.27677,-0.9101,-3.6831,0
1.0996,-1.1803,-0.27404,-0.45498,-3.7026,0
1.8871,-0.68834,-0.22495,-0.9101,-3.6929,0
2.0446,-0.40133,-0.16496,0.00013542,-3.6831,0
2.0446,-0.72934,-0.14042,0.00013542,-3.6733,0
1.4671,-0.52433,-0.22223,-0.22742,-3.6733,0
1.0471,-0.032323,-0.18405,0.2277,-3.644,0
1.5196,-0.073324,-0.12951,-0.45498,-3.644,0
1.2046,0.09068,-0.072242,0.2277,-3.6049,0
0.36465,0.58269,-0.014976,-0.68254,-3.5658,0
-0.31785,0.17268,0.031383,-0.22742,-3.4876,0
-0.055348,0.41869,0.096831,-0.22742,-3.4289,0
-0.0028479,0.58269,0.20591,-0.22742,-3.3507,0
-1.2103,0.0086782,0.20046,-0.45498,-3.2725,0
-2.1553,-0.15533,0.17046,0.00013542,-3.204,0
-1.8928,0.0086782,0.15682,-0.22742,-3.0769,0
-1.4728,0.25468,0.14592,0.2277,-2.989,0
-1.2628,0.29568,0.14592,-0.22742,-2.8912,0
-1.1578,0.58269,0.21409,-0.68254,-2.7934,0
-1.5253,0.62369,0.29045,-0.45498,-2.6761,0
-1.8928,0.33669,0.36135,-0.9101,-2.5588,0
-1.7353,-0.27833,0.42407,-0.22742,-2.4708,0
-1.7353,-0.77034,0.40498,-0.22742,-2.4219,0
-2.2078,-0.64734,0.35862,0.2277,-2.3339,0
-2.5228,-0.44233,0.28772,0.00013542,-2.2459,0
-1.8403,-0.64734,0.255,-0.22742,-2.2068,0
-0.68534,-0.89334,0.24136,0.2277,-2.1384,0
-0.16035,-0.93434,0.195,0.00013542,-2.1188,0
-0.26535,-0.89334,0.15955,-0.9101,-2.0993,0
-0.37035,-0.64734,0.17319,-0.22742,-2.0602,0
-0.10785,-0.11432,0.18682,-0.22742,-2.0113,0
-0.10785,0.25468,0.23863,0.45525,-1.9624,0
0.36465,1.0337,0.26863,-0.45498,-1.9233,0
0.94215,1.1567,0.28226,0.00013542,-1.8549,0
1.0471,0.29568,0.27954,-0.22742,-1.8158,0
0.20715,0.21368,0.19227,-0.22742,-1.7669,0
0.41715,0.62369,0.083196,-0.22742,-1.7278,0
0.99465,0.58269,0.036837,-0.68254,-1.6789,0
0.88965,0.45969,0.045018,-0.45498,-1.6398,0
0.10215,1.6487,0.099557,0.00013542,-1.5811,0
-0.21285,2.0587,0.18409,-0.9101,-1.5029,0
0.20715,1.7307,0.17864,-0.9101,-1.454,0
0.36465,1.6897,0.15682,-0.22742,-1.3758,0
0.15465,0.9517,0.13228,0.00013542,-1.3758,0
-0.055348,1.1157,0.064107,-0.22742,-1.3269,0
-0.31785,1.5667,0.0068403,-0.45498,-1.3465,0
-0.37035,1.2797,-0.036791,-0.45498,-1.3269,0
-0.37035,0.9517,-0.017703,-1.3652,-1.2976,0
-0.31785,0.29568,0.025929,-0.45498,-1.2878,0
-0.73784,-0.56533,0.077742,-0.68254,-1.2683,0
-1.0528,0.0086782,0.1241,-0.45498,-1.2194,0
-1.2103,0.45969,0.14864,-0.45498,-1.2194,0
-0.89534,0.049679,0.14864,0.2277,-1.151,0
-0.26535,0.13168,0.165,-0.9101,-1.1412,0
-0.10785,0.25468,0.1241,-0.9101,-1.1021,0
-0.68534,-0.073324,0.055926,0.00013542,-1.0532,0
-0.63285,-0.64734,0.025929,0.00013542,-1.0141,0
-0.47535,-0.93434,0.020475,-0.45498,-0.9652,0
-1.0528,-0.60634,0.06138,-0.45498,-0.91631,0
-1.1053,-0.36033,0.075015,-0.45498,-0.82832,0
-0.89534,0.41869,0.064107,-0.68254,-0.79899,0
-1.1578,0.17268,0.036837,-0.22742,-0.81855,0
-1.1578,-0.52433,0.020475,0.2277,-0.75989,0
-1.0003,-0.60634,0.012294,0.68281,-0.68167,0
-0.58035,-0.36033,0.017748,0.2277,-0.60346,0
-0.0028479,0.0086782,0.0095673,0.45525,-0.49592,0
0.25965,-0.27833,0.06138,0.45525,-0.43726,0
0.41715,-1.1393,0.047745,0.2277,-0.3786,0
-0.21285,-0.85234,0.0013863,0.00013542,-0.30039,0
-1.3678,-0.77034,0.0095673,-0.22742,-0.24173,0
-2.4703,-0.93434,0.025929,-0.68254,-0.24173,0
-2.8903,-1.3034,0.050472,0.00013542,-0.17329,0
-1.9453,-0.89334,0.080469,-0.22742,-0.17329,0
-0.89534,-0.81134,0.14592,0.00013542,-0.12441,0
0.20715,-1.2624,0.15682,0.2277,-0.14396,0
-0.10785,-1.1803,0.13228,0.00013542,-0.0853,0
-1.3153,-0.64734,0.069561,-0.45498,-0.046194,0
-1.4203,0.33669,0.0041133,-0.45498,-0.0070873,0
-0.16035,0.17268,-0.058607,-0.22742,-0.026641,0
0.73215,-0.19633,-0.077696,-0.22742,0.012466,0
0.52215,0.09068,-0.044972,0.68281,0.012466,0
1.0996,-0.032323,-0.053153,-0.45498,0.051572,0
1.7821,-0.56533,-0.061334,0.2277,0.071126,0
2.0446,-0.89334,-0.066788,0.00013542,0.071126,0
1.7821,-0.64734,-0.050426,-0.9101,0.061349,0
1.7296,-0.032323,-0.072242,-0.68254,0.080902,0
1.6771,0.62369,-0.099512,0.45525,0.13956,0
